,uik,num_of_registered_voters_x,num_of_ballots_given_away_on_voting_day_indoors_x,num_of_ballots_given_away_on_voting_day_at_home_x,num_of_valid_ballots_x,Путин Владимир Владимирович_x,coords_x,num_of_registered_voters_y,num_of_ballots_given_away_on_voting_day_indoors_y,num_of_ballots_given_away_on_voting_day_at_home_y,num_of_valid_ballots_y,Путин Владимир Владимирович_y,Явка 2012,Поддержка 2012,Явка 2018,Поддержка 2018,Построено метро,Контрольная1,Контрольная2
917,УИК №208,2726,1511,50,1508,675,"(55.809934, 37.527184)",2137,1181,45,1185,770,0.5726338958180485,0.4476127320954907,0.5737014506317267,0.6497890295358649,0,1,0
918,УИК №209,2567,1436,49,1448,604,"(55.811589, 37.532852)",2184,1106,91,1160,821,0.5784962991819245,0.4171270718232044,0.5480769230769231,0.7077586206896552,0,0,1
919,УИК №210,2571,1466,66,1494,563,"(55.804845, 37.532035)",2546,1309,48,1340,870,0.5958770906262155,0.3768406961178046,0.53299293008641,0.6492537313432836,0,1,0
920,УИК №211,2295,1243,50,1259,565,"(55.809732, 37.531451)",2221,1259,56,1292,907,0.5633986928104575,0.448768864177919,0.5920756416028816,0.7020123839009288,0,1,0
921,УИК №212,2718,1342,41,1358,629,"(55.8058108659764, 37.5484807044268)",1073,571,34,597,409,0.5088300220750552,0.4631811487481591,0.5638397017707363,0.6850921273031826,0,0,1
922,УИК №213,2245,1828,0,1799,1269,"(55.806646, 37.542958)",2130,1124,49,1153,816,0.8142538975501113,0.7053918843802113,0.5507042253521127,0.7077189939288812,0,1,0
923,УИК №214,2442,1357,42,1369,542,"(55.803853, 37.541404)",2247,1241,51,1271,846,0.5728910728910729,0.39590942293645,0.5749888740542947,0.6656176239181747,0,1,0
924,УИК №215,2223,1245,50,1258,508,"(55.803853, 37.541404)",2178,1143,46,1170,771,0.5825461088618983,0.4038155802861685,0.5459136822773186,0.658974358974359,0,1,0
925,УИК №216,2467,1332,39,1343,578,"(55.800995, 37.546668)",2290,1257,60,1279,864,0.5557357113903526,0.430379746835443,0.5751091703056769,0.6755277560594214,0,1,0
926,УИК №217,2561,1534,63,1560,633,"(55.800625, 37.552058)",2238,1169,67,1223,874,0.6235845372901211,0.4057692307692307,0.5522788203753352,0.7146361406377759,1,0,0
927,УИК №3234,30,30,0,30,18,"(nan, nan)",1227,726,64,769,579,1.0,0.6,0.6438467807660961,0.752925877763329,0,0,1
928,УИК №3235,106,52,54,105,45,"(nan, nan)",1094,631,39,659,474,1.0,0.4285714285714285,0.6124314442413162,0.7192716236722306,0,0,1
929,УИК №3236,193,0,193,188,112,"(nan, nan)",1298,722,43,755,582,1.0,0.5957446808510638,0.5893682588597843,0.7708609271523179,0,0,1
930,УИК №218,2521,1461,42,1462,581,"(55.779484, 37.577283)",2518,1473,54,1509,1087,0.5961919873066244,0.3974008207934336,0.6064336775218427,0.7203445990722332,0,1,0
931,УИК №219,2676,1482,54,1498,621,"(55.780071, 37.568677)",870,864,6,838,594,0.5739910313901345,0.4145527369826435,1.0,0.7088305489260143,0,1,0
932,УИК №220,2490,1249,66,1270,574,"(55.780071, 37.568677)",3112,1799,75,1828,1346,0.5281124497991968,0.4519685039370079,0.6021850899742931,0.7363238512035011,0,1,0
933,УИК №221,2111,1211,35,1210,451,"(55.782365, 37.55982)",2969,1412,35,1432,1047,0.5902415916627191,0.3727272727272727,0.4873694846749747,0.7311452513966481,0,1,0
934,УИК №222,2612,1413,36,1413,592,"(55.7840029675189, 37.5591045990586)",2941,1655,70,1705,1204,0.5547473200612557,0.418966737438075,0.5865351921115267,0.706158357771261,1,1,0
935,УИК №223,2943,1573,51,1593,726,"(55.785199, 37.571624)",3054,1710,78,1678,1287,0.5518178729187904,0.455743879472693,0.5854616895874263,0.766984505363528,0,1,0
936,УИК №224,2455,1299,32,1300,545,"(55.7861892306506, 37.572478260845)",2651,1466,58,1506,1140,0.5421588594704684,0.4192307692307692,0.5748774047529234,0.7569721115537849,0,1,0
937,УИК №225,2171,1280,34,1251,504,"(55.784693, 37.574354)",2464,1274,64,1282,974,0.605251036388761,0.4028776978417266,0.5430194805194806,0.7597503900156006,0,1,0
938,УИК №226,2341,1289,62,1322,531,"(55.788591, 37.580616)",1863,1113,28,1107,814,0.577103801794105,0.4016641452344932,0.6124530327428879,0.7353206865401988,1,1,0
939,УИК №227,2446,1487,44,1473,701,"(55.784693, 37.574354)",2290,1208,60,1226,920,0.6259198691741619,0.4758995247793618,0.5537117903930131,0.7504078303425775,0,1,0
940,УИК №3237,1638,1300,0,1277,698,"(nan, nan)",1110,685,35,709,518,0.7936507936507936,0.5465935787000783,0.6486486486486487,0.7306064880112835,0,0,1
941,УИК №3238,169,169,0,166,111,"(nan, nan)",1421,863,42,891,651,1.0,0.6686746987951807,0.6368754398311048,0.7306397306397306,0,0,1
942,УИК №3239,163,160,0,156,84,"(nan, nan)",1385,858,53,898,654,0.98159509202454,0.5384615384615384,0.6577617328519856,0.7282850779510023,0,0,1
943,УИК №228,2419,1290,39,1292,581,"(55.857801, 37.56644)",2169,1283,50,1304,989,0.5494005787515502,0.4496904024767801,0.6145689257722453,0.7584355828220859,1,0,0
944,УИК №229,2490,1037,35,1032,516,"(55.858028, 37.560826)",2055,1062,57,1092,833,0.4305220883534136,0.5,0.5445255474452555,0.7628205128205128,1,0,0
945,УИК №230,2565,1387,37,1390,651,"(55.862868, 37.556882)",2088,1116,57,1164,890,0.5551656920077973,0.4683453237410072,0.5617816091954023,0.7646048109965635,1,0,0
946,УИК №231,2835,1259,41,1278,660,"(55.871157, 37.542374)",2075,1145,55,1181,894,0.4585537918871252,0.5164319248826291,0.5783132530120482,0.7569856054191363,0,0,1
947,УИК №232,3132,1724,46,1734,887,"(55.870799, 37.552804)",2311,1306,70,1338,1005,0.5651340996168582,0.5115340253748558,0.595413241021203,0.7511210762331838,0,0,1
948,УИК №233,1128,495,14,502,222,"(55.870799, 37.552804)",2455,1404,54,1433,1067,0.4512411347517731,0.4422310756972111,0.5938900203665988,0.7445917655268667,0,0,1
949,УИК №234,2831,1428,46,1428,753,"(55.871819, 37.542249)",2350,1242,85,1310,988,0.5206640762981278,0.5273109243697479,0.5646808510638298,0.7541984732824427,0,0,1
950,УИК №235,2882,1438,58,1455,753,"(55.871819, 37.542249)",2431,1398,45,1417,1027,0.5190839694656488,0.5175257731958763,0.5935828877005348,0.7247706422018348,0,0,1
951,УИК №236,2754,1544,33,1549,735,"(55.875344, 37.539706)",2457,1343,57,1380,1039,0.5726216412490922,0.4744996772111039,0.5698005698005698,0.7528985507246376,0,0,1
952,УИК №237,2772,1419,66,1452,769,"(55.875359, 37.541683)",2579,1399,48,1426,1031,0.5357142857142857,0.5296143250688705,0.5610701822411788,0.7230014025245441,0,0,1
953,УИК №238,2648,1451,45,1461,700,"(55.875359, 37.541683)",2631,1492,38,1507,1081,0.5649546827794562,0.4791238877481177,0.5815279361459521,0.7173191771731918,0,0,1
954,УИК №239,2768,1350,68,1398,697,"(55.874905, 37.55452)",2271,1302,74,1361,952,0.5122832369942196,0.4985693848354792,0.6059004843681197,0.6994856722997795,0,0,1
955,УИК №240,2752,1413,66,1448,763,"(55.875178, 37.555571)",2815,1602,63,1636,1121,0.5374273255813954,0.5269337016574586,0.5914742451154529,0.6852078239608802,0,0,1
956,УИК №241,2661,1457,59,1488,742,"(55.873678, 37.555975)",2017,1137,60,1181,781,0.5697106350995866,0.4986559139784946,0.593455627169063,0.6613039796782387,0,0,1
957,УИК №242,2751,1417,54,1446,704,"(55.873678, 37.555975)",2345,1370,51,1394,934,0.534714649218466,0.4868603042876901,0.6059701492537314,0.6700143472022956,0,0,1
958,УИК №243,2783,1460,67,1492,742,"(55.868263, 37.561437)",2989,1607,78,1661,1094,0.5486884656845131,0.4973190348525469,0.5637336901973904,0.658639373871162,0,0,1
959,УИК №244,2688,1502,60,1528,765,"(55.868263, 37.561437)",2938,1587,94,1639,1117,0.5811011904761905,0.5006544502617801,0.5721579305650102,0.6815131177547284,0,0,1
960,УИК №245,2696,1394,56,1418,689,"(55.861802, 37.562955)",2531,1534,58,1563,1053,0.537833827893175,0.4858956276445698,0.6290003951007507,0.6737044145873321,1,0,0
961,УИК №246,2413,1285,30,1289,575,"(55.857801, 37.56644)",2274,1256,84,1320,984,0.5449647741400746,0.4460822342901474,0.5892700087950747,0.7454545454545455,1,0,0
962,УИК №3240,246,237,0,234,128,"(nan, nan)",1670,1043,28,1053,781,0.9634146341463414,0.5470085470085471,0.641317365269461,0.741690408357075,0,0,1
963,УИК №3104,1803,1008,48,1030,466,"(55.997985, 37.220921)",1972,1153,43,1182,872,0.5856905158069884,0.4524271844660194,0.6064908722109533,0.7377326565143824,0,0,1
964,УИК №3105,1856,1024,51,1051,492,"(55.997985, 37.220921)",2057,1183,35,1189,862,0.5792025862068966,0.4681255946717412,0.5921244530870199,0.7249789739276703,0,0,1
965,УИК №3106,1724,936,23,942,482,"(55.997985, 37.220921)",2169,1243,27,1254,892,0.5562645011600929,0.5116772823779193,0.5855232826187183,0.7113237639553429,0,0,1
966,УИК №3107,1634,870,35,895,425,"(55.997985, 37.220921)",2256,1181,34,1208,873,0.5538555691554468,0.4748603351955307,0.538563829787234,0.722682119205298,0,0,1
967,УИК №3108,1737,1020,43,1044,491,"(55.997985, 37.220921)",2030,1181,35,1195,842,0.6119746689694876,0.4703065134099617,0.5990147783251232,0.704602510460251,0,0,1
968,УИК №3109,1077,621,32,642,328,"(55.99428, 37.222062)",1550,857,28,875,627,0.606313834726091,0.5109034267912772,0.5709677419354838,0.7165714285714285,0,0,1
969,УИК №3110,1150,679,48,713,335,"(55.99428, 37.222062)",895,503,4,497,350,0.6321739130434783,0.4698457223001402,0.5664804469273743,0.704225352112676,0,0,1
970,УИК №3111,1216,718,51,756,402,"(55.99428, 37.222062)",2423,1427,48,1451,999,0.6324013157894737,0.5317460317460317,0.6087494841106067,0.6884906960716747,0,0,1
971,УИК №3112,826,523,38,552,270,"(55.998056, 37.231629)",2012,1055,47,1094,770,0.6791767554479419,0.4891304347826087,0.547713717693837,0.7038391224862889,0,0,1
972,УИК №3113,749,477,36,496,244,"(55.998056, 37.231629)",2110,1107,58,1145,783,0.684913217623498,0.4919354838709677,0.5521327014218009,0.6838427947598253,0,0,1
973,УИК №3114,1235,765,50,799,393,"(55.998056, 37.231629)",2585,1360,41,1386,971,0.659919028340081,0.4918648310387985,0.541972920696325,0.7005772005772006,0,0,1
974,УИК №3115,1249,892,4,877,284,"(55.990056, 37.255327)",2684,1482,63,1521,1038,0.7173738991192954,0.3238312428734322,0.5756333830104322,0.6824457593688363,0,0,1
975,УИК №3116,1032,612,16,617,306,"(55.991566, 37.228234)",2188,1215,56,1258,902,0.6085271317829457,0.4959481361426256,0.5808957952468007,0.7170111287758346,0,0,1
976,УИК №3117,1023,625,7,621,310,"(55.991566, 37.228234)",2430,1381,55,1414,983,0.6177908113391984,0.499194847020934,0.5909465020576131,0.6951909476661952,0,0,1
977,УИК №3118,1067,570,47,604,326,"(55.991566, 37.228234)",2201,1427,30,1432,1015,0.5782567947516402,0.5397350993377483,0.6619718309859155,0.7087988826815642,0,0,1
978,УИК №3119,1129,696,25,707,387,"(55.991566, 37.228234)",1450,836,32,856,584,0.6386182462356067,0.5473833097595474,0.5986206896551725,0.6822429906542056,0,0,1
979,УИК №3120,1698,946,49,976,511,"(55.99143, 37.233534)",1062,792,3,784,560,0.5859835100117785,0.5235655737704918,0.748587570621469,0.7142857142857143,0,0,1
980,УИК №3121,519,293,29,316,153,"(55.99143, 37.233534)",2175,1214,34,1226,822,0.6204238921001927,0.4841772151898734,0.5737931034482758,0.6704730831973899,0,0,1
981,УИК №3122,1217,675,37,697,390,"(55.99143, 37.233534)",2215,1212,57,1244,808,0.5850451930977815,0.5595408895265424,0.5729119638826186,0.6495176848874598,0,0,1
982,УИК №3123,1085,591,52,635,351,"(55.99143, 37.233534)",2160,1229,59,1272,908,0.5926267281105991,0.552755905511811,0.5962962962962963,0.7138364779874213,0,0,1
983,УИК №3400,724,477,233,703,405,"(nan, nan)",1921,1252,29,1254,868,0.9806629834254144,0.5761024182076814,0.6668401874023946,0.6921850079744817,0,0,1
984,УИК №247,2243,1320,60,1336,597,"(55.8182309895839, 37.4962381459773)",1750,971,40,990,717,0.6152474364690147,0.4468562874251497,0.5777142857142857,0.7242424242424242,1,1,0
985,УИК №248,2709,1633,44,1621,718,"(55.8197355165597, 37.4911416135729)",2431,1423,62,1457,1019,0.6190476190476191,0.4429364589759407,0.6108597285067874,0.699382292381606,1,1,0
986,УИК №249,2183,1238,67,1275,537,"(55.8198079996664, 37.4912167154253)",2400,1366,66,1411,979,0.59780119102153,0.4211764705882353,0.5966666666666667,0.6938341601700921,1,1,0
987,УИК №250,2428,1461,55,1491,675,"(55.819808, 37.491045)",2769,1560,55,1564,1054,0.6243822075782537,0.4527162977867203,0.5832430480317804,0.6739130434782609,1,1,0
988,УИК №251,2498,1393,72,1434,552,"(55.829102, 37.491099)",2305,1364,73,1404,1004,0.5864691753402722,0.3849372384937238,0.6234273318872018,0.7150997150997151,0,0,1
989,УИК №252,2266,1314,42,1331,563,"(55.837803, 37.484406)",2127,1167,76,1228,877,0.5984112974404237,0.4229902329075883,0.5843911612599906,0.7141693811074918,0,1,0
990,УИК №253,2183,1245,48,1265,576,"(55.837803, 37.484406)",2445,1403,63,1435,1038,0.5923041685753551,0.4553359683794466,0.5995910020449898,0.7233449477351916,0,1,0
991,УИК №254,2601,1352,72,1390,714,"(55.835978, 37.506091)",2283,1329,69,1346,905,0.5474817377931565,0.5136690647482014,0.6123521681997371,0.6723625557206538,0,0,1
992,УИК №255,2438,1306,54,1330,617,"(55.829102, 37.491099)",2229,1312,44,1329,861,0.5578342904019689,0.4639097744360902,0.6083445491251682,0.6478555304740407,0,0,1
993,УИК №256,2463,1541,64,1584,779,"(55.820162, 37.50513)",2315,1301,72,1352,927,0.6516443361753959,0.4917929292929293,0.5930885529157668,0.6856508875739645,0,1,0
994,УИК №257,2623,1455,47,1470,631,"(55.824723, 37.515111)",2313,1388,84,1456,1075,0.5726267632481891,0.4292517006802721,0.6364029399048854,0.7383241758241759,0,0,1
995,УИК №258,2802,1686,49,1562,651,"(55.824723, 37.515111)",2268,1329,74,1358,993,0.6192005710206995,0.4167733674775928,0.6186067019400353,0.7312223858615611,0,0,1
996,УИК №259,2340,1296,51,1322,635,"(55.822938, 37.517195)",2553,1446,46,1473,1094,0.5756410256410256,0.4803328290468986,0.5844104974539757,0.7427019687712152,0,0,1
997,УИК №260,2138,1202,49,1223,559,"(55.816652, 37.519782)",2184,1239,68,1292,962,0.5851262862488307,0.4570727718724448,0.5984432234432234,0.7445820433436533,0,0,1
998,УИК №261,2569,1451,65,1489,679,"(55.8196, 37.511338)",2258,1256,69,1311,967,0.5901128843908136,0.4560107454667562,0.5868024800708592,0.7376048817696415,0,1,0
999,УИК №262,2393,1293,59,1311,547,"(55.8196, 37.511338)",2277,1350,46,1377,1050,0.5649811951525282,0.4172387490465293,0.6130873956960914,0.7625272331154684,0,1,0
1000,УИК №263,2264,1443,33,1441,545,"(55.818012, 37.506981)",2187,1085,76,1141,857,0.6519434628975265,0.3782095766828591,0.5308641975308642,0.7510955302366346,0,1,0
1001,УИК №264,2469,1466,58,1452,603,"(55.817471, 37.504879)",2522,1484,35,1487,1112,0.6172539489671932,0.4152892561983471,0.6022997620935765,0.7478143913920645,0,1,0
1002,УИК №3242,623,622,0,597,530,"(nan, nan)",1384,915,46,942,675,0.9983948635634028,0.8877721943048577,0.694364161849711,0.7165605095541401,0,0,1
1003,УИК №265,2448,1429,56,1450,678,"(55.861166, 37.570707)",2606,1589,42,1616,1173,0.6066176470588235,0.4675862068965517,0.625863392171911,0.7258663366336634,1,0,0
1004,УИК №266,2389,1364,57,1390,690,"(55.861166, 37.570707)",2175,1181,37,1203,892,0.5948095437421516,0.4964028776978417,0.56,0.741479634247714,1,0,0
1005,УИК №267,2629,1404,42,1424,716,"(55.862176, 37.566323)",2676,1573,29,1570,1159,0.5500190186382655,0.5028089887640449,0.5986547085201793,0.7382165605095541,1,0,0
1006,УИК №268,2411,1292,62,1320,657,"(55.862176, 37.566323)",2413,1293,52,1325,985,0.5615927001244297,0.4977272727272727,0.5573974305843349,0.7433962264150943,1,0,0
1007,УИК №269,2274,1412,64,1378,724,"(55.869309, 37.565668)",2509,1457,41,1477,1084,0.6490765171503958,0.525399129172714,0.5970506177760064,0.7339201083276913,0,0,1
1008,УИК №270,2353,1280,63,1316,675,"(55.869309, 37.565668)",2485,1546,45,1571,1147,0.5707607309817254,0.5129179331306991,0.6402414486921529,0.7301082113303629,0,0,1
1009,УИК №271,2133,1148,56,1180,617,"(55.870072, 37.567761)",2411,1413,63,1446,1038,0.5644631973745898,0.5228813559322034,0.6121941103276649,0.7178423236514523,0,0,1
1010,УИК №272,2642,1455,33,1453,712,"(55.870072, 37.567761)",2361,1367,49,1389,1018,0.5632096896290689,0.4900206469373709,0.5997458703939009,0.7329013678905687,0,0,1
1011,УИК №273,2382,1321,27,1314,630,"(55.872481, 37.566359)",2433,1395,41,1421,1089,0.5659109991603695,0.4794520547945205,0.5902178380600083,0.7663617171006334,0,0,1
1012,УИК №274,2435,1271,43,1281,685,"(55.872481, 37.566359)",2566,1523,41,1533,1161,0.5396303901437371,0.5347384855581577,0.6095089633671084,0.7573385518590998,0,0,1
1013,УИК №275,2601,1462,23,1443,701,"(55.872481, 37.566359)",2468,1468,76,1512,1127,0.5709342560553633,0.4857934857934858,0.6256077795786061,0.7453703703703703,0,0,1
1014,УИК №276,2477,1303,40,1325,637,"(55.877344, 37.562694)",2586,1316,75,1364,990,0.5421881308033912,0.4807547169811321,0.5378963650425367,0.7258064516129032,0,0,1
1015,УИК №277,2686,1525,22,1522,699,"(55.877344, 37.562694)",2157,1312,46,1344,1022,0.5759493670886076,0.4592641261498029,0.6295781177561428,0.7604166666666666,0,0,1
1016,УИК №278,2210,1748,31,1621,758,"(55.877344, 37.562694)",2541,1467,44,1492,1119,0.8049773755656109,0.4676125848241826,0.5946477764659582,0.75,0,0,1
1017,УИК №279,2905,1763,47,1766,748,"(55.881662, 37.562209)",2802,1713,58,1742,1323,0.6230636833046471,0.4235560588901472,0.6320485367594575,0.7594718714121699,0,0,1
1018,УИК №280,2531,1505,41,1468,728,"(55.881258, 37.554825)",2583,1638,43,1658,1207,0.6108257605689451,0.4959128065395095,0.6507936507936508,0.7279855247285887,0,0,1
1019,УИК №281,2627,1427,49,1451,734,"(55.881258, 37.554825)",2430,1451,41,1467,1079,0.5618576322801675,0.5058580289455548,0.6139917695473252,0.7355146557600545,0,0,1
1020,УИК №282,2705,1495,34,1497,733,"(55.881258, 37.554825)",2325,1264,39,1281,915,0.5652495378927911,0.4896459585838343,0.5604301075268817,0.7142857142857143,0,0,1
1021,УИК №283,2440,1317,64,1345,708,"(55.881662, 37.562209)",2726,1678,66,1727,1266,0.565983606557377,0.5263940520446097,0.6397652237710931,0.7330631152287204,0,0,1
1022,УИК №284,2565,1310,61,1324,635,"(55.885953, 37.560916)",2516,1472,88,1524,1064,0.5345029239766081,0.479607250755287,0.6200317965023847,0.6981627296587927,0,0,1
1023,УИК №285,2233,1282,43,1291,664,"(55.885953, 37.560916)",3360,1976,75,2006,1424,0.593372145096283,0.5143299767621998,0.6104166666666667,0.7098703888334995,0,0,1
1024,УИК №286,2421,1382,49,1399,700,"(55.885953, 37.560916)",2628,1561,76,1614,1155,0.5910780669144982,0.5003573981415297,0.6229071537290716,0.7156133828996283,0,0,1
1025,УИК №287,2636,1508,46,1517,762,"(55.891451, 37.560763)",2678,1507,67,1545,1093,0.5895295902883156,0.5023071852340145,0.5877520537714712,0.7074433656957929,0,0,1
1026,УИК №288,2817,1669,29,1663,773,"(55.891451, 37.560763)",2839,1669,54,1687,1198,0.6027689030883919,0.4648226097414311,0.6069038393800634,0.7101363366923533,0,0,1
1027,УИК №289,2007,1121,29,1130,583,"(55.8437909489989, 37.5230065919459)",2568,1411,91,1473,1023,0.57299451918286,0.515929203539823,0.5848909657320872,0.6945010183299389,1,0,0
1028,УИК №290,2648,1338,29,1322,636,"(55.845087, 37.520986)",2463,1500,39,1509,1015,0.5162386706948641,0.481089258698941,0.6248477466504263,0.6726308813783963,1,0,0
1029,УИК №291,2687,1534,43,1548,725,"(55.846851, 37.516844)",2337,1398,74,1443,1044,0.5868998883513212,0.4683462532299741,0.629867351305092,0.7234927234927235,1,0,0
1030,УИК №292,2488,1488,59,1514,616,"(55.846851, 37.516844)",2413,1318,84,1384,994,0.6217845659163987,0.4068692206076618,0.5810194778284293,0.7182080924855492,1,0,0
1031,УИК №293,2748,1474,74,1511,738,"(55.844172, 37.499938)",1970,1041,78,1104,799,0.5633187772925764,0.4884182660489742,0.5680203045685279,0.7237318840579711,0,1,0
1032,УИК №294,2597,1438,53,1451,670,"(55.844218, 37.490272)",2206,1109,54,1144,863,0.5741239892183289,0.461750516884907,0.5271985494106981,0.7543706293706294,0,1,0
1033,УИК №295,2783,1604,44,1603,707,"(55.843843, 37.488556)",2251,1205,57,1254,928,0.5921667265540783,0.4410480349344978,0.5606397156819192,0.7400318979266348,0,1,0
1034,УИК №296,2763,1527,47,1538,692,"(55.845895, 37.481145)",2151,1198,88,1272,942,0.5696706478465436,0.4499349804941482,0.597861459786146,0.7405660377358491,0,1,0
1035,УИК №297,2713,1453,84,1499,632,"(55.845895, 37.481145)",2447,1336,70,1377,1009,0.5665315149281238,0.4216144096064043,0.5745811197384553,0.7327523602033406,0,1,0
1036,УИК №298,2487,1533,30,1521,634,"(55.847937, 37.485951)",2611,1444,66,1484,1074,0.6284680337756333,0.4168310322156476,0.5783224818077365,0.7237196765498652,0,1,0
1037,УИК №299,2471,1450,62,1479,701,"(55.847937, 37.485951)",2692,1584,62,1613,1161,0.6118980169971672,0.4739688979039891,0.611441307578009,0.7197768133911965,0,1,0
1038,УИК №300,2522,1290,73,1341,583,"(55.849782, 37.494575)",2461,1437,45,1470,1037,0.5404440919904837,0.4347501864280387,0.6021942299878098,0.7054421768707483,0,0,1
1039,УИК №301,2159,1098,59,1136,530,"(55.848235, 37.498743)",2694,1485,73,1533,1099,0.5358962482630848,0.4665492957746479,0.5783221974758723,0.7168949771689498,0,0,1
1040,УИК №302,2264,1164,76,1214,575,"(55.853572, 37.507843)",2788,1682,46,1706,1207,0.5477031802120141,0.4736408566721581,0.6197991391678622,0.7075029308323564,0,0,1
1041,УИК №303,2422,1289,49,1311,632,"(55.853572, 37.507843)",2356,1338,64,1346,944,0.5524360033030553,0.4820747520976354,0.5950764006791172,0.7013372956909361,0,0,1
1042,УИК №304,2378,1331,87,1385,640,"(55.854734, 37.507996)",2414,1376,61,1407,1017,0.5962994112699748,0.4620938628158845,0.5952775476387738,0.7228144989339019,0,0,1
1043,УИК №305,2571,1336,54,1371,655,"(55.854734, 37.507996)",2177,1226,72,1279,949,0.5406456631660832,0.4777534646243618,0.5962333486449242,0.7419859265050821,0,0,1
1044,УИК №306,2557,1292,66,1319,641,"(55.851485, 37.509101)",2322,1334,69,1386,1036,0.5310911224090731,0.4859742228961334,0.6042204995693368,0.7474747474747475,0,0,1
1045,УИК №307,2750,1487,56,1519,678,"(55.845087, 37.520986)",2039,1127,73,1169,881,0.5610909090909091,0.4463462804476629,0.588523786169691,0.7536355859709153,1,0,0
1046,УИК №308,2539,1501,25,1498,593,"(55.85436, 37.517015)",2810,1565,72,1621,1259,0.6010240252067743,0.3958611481975967,0.5825622775800712,0.7766810610734115,0,0,1
1047,УИК №309,2798,1429,37,1434,643,"(55.85916, 37.524758)",2318,1188,85,1257,958,0.5239456754824875,0.4483960948396094,0.5491803278688525,0.762132060461416,0,0,1
1048,УИК №310,2537,1340,37,1351,652,"(55.86159, 37.513188)",2688,1493,66,1533,1146,0.5427670476941269,0.4826054774241303,0.5799851190476191,0.7475538160469667,0,0,1
1049,УИК №311,2392,1259,33,1266,573,"(55.8621, 37.510358)",2234,1284,85,1257,980,0.540133779264214,0.45260663507109,0.6128021486123545,0.7796340493237868,0,0,1
1050,УИК №312,2458,1294,48,1315,644,"(55.8653545359198, 37.5143507681787)",2649,1546,43,1576,1168,0.5459723352318958,0.4897338403041825,0.599848999622499,0.7411167512690355,0,0,1
1051,УИК №313,2155,1095,64,1130,579,"(55.864636, 37.515245)",2185,1327,54,1359,1055,0.5378190255220417,0.5123893805309735,0.6320366132723112,0.7763061074319353,0,0,1
1052,УИК №314,2404,1306,45,1324,664,"(55.856851, 37.516701)",2085,1173,22,1159,897,0.5619800332778702,0.5015105740181269,0.5731414868105515,0.7739430543572045,0,0,1
1053,УИК №315,2141,1087,66,1137,614,"(55.881899, 37.52209)",2413,1383,78,1445,1107,0.5385333956095283,0.5400175901495162,0.6054703688354746,0.7660899653979238,0,0,1
1054,УИК №316,2123,1047,49,1083,581,"(55.881899, 37.52209)",2561,1547,44,1566,1206,0.5162505887894488,0.5364727608494921,0.6212417024599766,0.7701149425287356,0,0,1
1055,УИК №317,2523,1229,64,1273,676,"(55.884115, 37.523016)",2291,1376,50,1384,1068,0.5124851367419738,0.5310290652003142,0.6224356176342208,0.7716763005780347,0,0,1
1056,УИК №318,2741,1431,80,1481,759,"(55.884115, 37.523016)",2327,1393,66,1433,1073,0.5512586647209048,0.512491559756921,0.6269875376020627,0.7487787857641311,0,0,1
1057,УИК №319,2285,1242,66,1210,610,"(55.886064, 37.518021)",2730,1493,69,1542,1185,0.5724288840262582,0.5041322314049587,0.5721611721611721,0.7684824902723736,0,0,1
1058,УИК №320,2612,1379,43,1397,784,"(55.889396, 37.52492)",2067,1224,50,1260,1002,0.5444104134762634,0.5612025769506085,0.6163522012578616,0.7952380952380952,0,0,1
1059,УИК №321,2227,1268,54,1294,738,"(55.889396, 37.52492)",2406,1263,80,1327,1006,0.593623709025595,0.5703245749613601,0.558187863674148,0.7581009796533534,0,0,1
1060,УИК №322,2173,1130,23,1130,627,"(55.892309, 37.540003)",2302,1254,62,1296,923,0.5306028531983433,0.5548672566371682,0.5716768027801912,0.7121913580246914,0,0,1
1061,УИК №323,2583,1420,42,1433,714,"(55.889396, 37.52492)",2329,1260,60,1302,988,0.5660085172280295,0.4982554082344731,0.5667668527264921,0.7588325652841782,0,0,1
1062,УИК №324,2615,1467,39,1470,769,"(55.893127, 37.533283)",2720,1552,64,1599,1189,0.5759082217973231,0.5231292517006803,0.5941176470588235,0.7435897435897436,0,0,1
1063,УИК №325,2260,1222,49,1250,693,"(55.896403, 37.532924)",2527,1433,64,1481,1127,0.5623893805309734,0.5544,0.592402057776019,0.7609723160027009,0,0,1
1064,УИК №326,2416,1293,74,1341,693,"(55.896403, 37.532924)",2631,1442,82,1510,1157,0.5658112582781457,0.5167785234899329,0.5792474344355758,0.7662251655629139,0,0,1
1065,УИК №327,2771,1344,73,1392,757,"(55.895454, 37.538018)",2599,1314,94,1393,1047,0.5113677372789607,0.5438218390804598,0.5417468257021931,0.7516152189519024,0,0,1
1066,УИК №328,2258,1194,71,1246,679,"(55.895454, 37.538018)",2188,1136,62,1187,915,0.5602302922940655,0.5449438202247191,0.5475319926873857,0.7708508845829823,0,0,1
1067,УИК №329,2348,1272,66,1321,683,"(55.892309, 37.540003)",2580,1500,79,1517,1122,0.5698466780238501,0.5170325510976533,0.612015503875969,0.7396176664469347,0,0,1
1068,УИК №330,2303,1237,63,1268,596,"(55.887291, 37.537425)",2357,1320,75,1364,1018,0.5644811115935736,0.4700315457413249,0.5918540517607128,0.7463343108504399,0,0,1
1069,УИК №331,2569,1296,42,1304,665,"(55.886327, 37.537245)",2536,1464,77,1524,1150,0.5208252238224991,0.5099693251533742,0.6076498422712934,0.7545931758530183,0,0,1
